,average_episode_rewards,algo,step,scenario
0,-0.5459999665617943,BPPO,400000.0,5_vs_5
1,-0.5539999809116125,BPPO,800000.0,5_vs_5
2,-0.9260000661015511,BPPO,1200000.0,5_vs_5
3,-0.6099999882280827,BPPO,1600000.0,5_vs_5
4,-0.5499999970197678,BPPO,2000000.0,5_vs_5
5,-0.47599999234080315,BPPO,2400000.0,5_vs_5
6,-0.6899999920278788,BPPO,2800000.0,5_vs_5
7,-0.3100000089034438,BPPO,3200000.0,5_vs_5
8,-0.37399998400360346,BPPO,3600000.0,5_vs_5
9,-0.5040000192821026,BPPO,4000000.0,5_vs_5
10,-0.2959999954327941,BPPO,4400000.0,5_vs_5
11,-0.53400001488626,BPPO,4800000.0,5_vs_5
12,-0.5439999978989363,BPPO,5200000.0,5_vs_5
13,-0.14600004069507122,BPPO,5600000.0,5_vs_5
14,-0.547999981790781,BPPO,6000000.0,5_vs_5
15,-0.8500000461935997,BPPO,6400000.0,5_vs_5
16,-0.12000000569969416,BPPO,6800000.0,5_vs_5
17,-0.4679999779909849,BPPO,7200000.0,5_vs_5
18,-0.969999935477972,BPPO,7600000.0,5_vs_5
19,-0.3920000046491623,BPPO,8000000.0,5_vs_5
20,-0.3320000134408474,BPPO,8400000.0,5_vs_5
21,-0.5319999996572733,BPPO,8800000.0,5_vs_5
22,-0.33200003672391176,BPPO,9200000.0,5_vs_5
23,-0.8640000596642494,BPPO,9600000.0,5_vs_5
24,-0.3120000474154949,BPPO,10000000.0,5_vs_5
25,0.1720000058412552,BPPO,10400000.0,5_vs_5
26,-0.6859999615699053,BPPO,10800000.0,5_vs_5
27,-0.46200002543628216,BPPO,11200000.0,5_vs_5
28,-0.28799998108297586,BPPO,11600000.0,5_vs_5
29,-0.36399997770786285,BPPO,12000000.0,5_vs_5
30,-0.15600001206621528,BPPO,12400000.0,5_vs_5
31,-0.8100001141428947,BPPO,12800000.0,5_vs_5
32,-0.5379999987781048,BPPO,13200000.0,5_vs_5
33,-0.3980000503361225,BPPO,13600000.0,5_vs_5
34,-0.279999990016222,BPPO,14000000.0,5_vs_5
35,-0.27600000612437725,BPPO,14400000.0,5_vs_5
36,-0.4339999984949827,BPPO,14800000.0,5_vs_5
37,-0.31999999191612005,BPPO,15200000.0,5_vs_5
38,-0.2220000373199582,BPPO,15600000.0,5_vs_5
39,-0.47599999234080315,BPPO,16000000.0,5_vs_5
40,-0.10200001997873187,BPPO,16400000.0,5_vs_5
41,-0.1600000192411244,BPPO,16800000.0,5_vs_5
42,0.047999992966651917,BPPO,17200000.0,5_vs_5
43,-0.4339999984949827,BPPO,17600000.0,5_vs_5
44,-0.37599997594952583,BPPO,18000000.0,5_vs_5
45,-0.2400000113993883,BPPO,18400000.0,5_vs_5
46,-0.23400001227855682,BPPO,18800000.0,5_vs_5
47,-0.570000009611249,BPPO,19200000.0,5_vs_5
48,-0.44600004330277443,BPPO,19600000.0,5_vs_5
49,-0.21600001491606236,BPPO,20000000.0,5_vs_5
0,-1.116000022739172,BPPO,400000.0,5_vs_5
1,-1.1900000274181366,BPPO,800000.0,5_vs_5
2,-0.8700000122189522,BPPO,1200000.0,5_vs_5
3,-0.7059999741613865,BPPO,1600000.0,5_vs_5
4,-0.3120000008493662,BPPO,2000000.0,5_vs_5
5,-0.6340000312775373,BPPO,2400000.0,5_vs_5
6,-0.5439999978989363,BPPO,2800000.0,5_vs_5
7,-0.7380000315606594,BPPO,3200000.0,5_vs_5
8,-0.6859999615699053,BPPO,3600000.0,5_vs_5
9,-0.5360000301152468,BPPO,4000000.0,5_vs_5
10,-0.20800000056624413,BPPO,4400000.0,5_vs_5
11,-0.2840000204741955,BPPO,4800000.0,5_vs_5
12,-0.7699999958276749,BPPO,5200000.0,5_vs_5
13,-0.4919999744743109,BPPO,5600000.0,5_vs_5
14,-0.20200000144541264,BPPO,6000000.0,5_vs_5
15,-0.5420000292360783,BPPO,6400000.0,5_vs_5
16,-0.16200001118704677,BPPO,6800000.0,5_vs_5
17,-0.5380000453442335,BPPO,7200000.0,5_vs_5
18,-0.674000009894371,BPPO,7600000.0,5_vs_5
19,-0.5380000453442335,BPPO,8000000.0,5_vs_5
20,-0.3060000017285347,BPPO,8400000.0,5_vs_5
21,-0.6300000008195639,BPPO,8800000.0,5_vs_5
22,-0.6180000491440296,BPPO,9200000.0,5_vs_5
23,-0.06000000284984708,BPPO,9600000.0,5_vs_5
24,-0.30200001783668995,BPPO,10000000.0,5_vs_5
25,-0.53400001488626,BPPO,10400000.0,5_vs_5
26,-0.4459999967366457,BPPO,10800000.0,5_vs_5
27,-0.45599997974932194,BPPO,11200000.0,5_vs_5
28,-0.9340000338852406,BPPO,11600000.0,5_vs_5
29,-0.3980000037699938,BPPO,12000000.0,5_vs_5
30,-0.6959999911487103,BPPO,12400000.0,5_vs_5
31,-0.3220000071451068,BPPO,12800000.0,5_vs_5
32,-0.22200001403689384,BPPO,13200000.0,5_vs_5
33,-0.2899999963119626,BPPO,13600000.0,5_vs_5
34,-0.6139999721199274,BPPO,14000000.0,5_vs_5
35,-0.3120000008493662,BPPO,14400000.0,5_vs_5
36,-0.7019999902695417,BPPO,14800000.0,5_vs_5
37,-0.559999980032444,BPPO,15200000.0,5_vs_5
38,-0.559999980032444,BPPO,15600000.0,5_vs_5
39,-0.6380000151693821,BPPO,16000000.0,5_vs_5
40,-0.3560000332072377,BPPO,16400000.0,5_vs_5
41,-0.3700000001117587,BPPO,16800000.0,5_vs_5
42,-0.3000000026077032,BPPO,17200000.0,5_vs_5
43,-0.6480000447481871,BPPO,17600000.0,5_vs_5
44,-0.6240000016987324,BPPO,18000000.0,5_vs_5
45,-0.535999983549118,BPPO,18400000.0,5_vs_5
46,-0.19400001037865877,BPPO,18800000.0,5_vs_5
47,-0.2199999988079071,BPPO,19200000.0,5_vs_5
48,-0.3819999983534217,BPPO,19600000.0,5_vs_5
49,-0.4879999440163374,BPPO,20000000.0,5_vs_5
0,-0.4780000075697899,BPPO,400000.0,5_vs_5
1,-0.39400001987814903,BPPO,800000.0,5_vs_5
2,-0.6159999873489141,BPPO,1200000.0,5_vs_5
3,-0.5159999709576368,BPPO,1600000.0,5_vs_5
