,eval_win_rate,algo,step,scenario
0,0.03,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.02,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.04,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.03,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.04,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.05,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.01,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.01,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.06,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.02,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.15,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.25,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.31,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.24,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.3,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.65,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.72,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.83,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.7,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.61,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.7,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.68,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.87,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.89,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.69,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.77,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.8,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.78,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.83,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.86,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.74,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.89,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.67,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.84,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.9,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.85,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.82,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.85,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.9,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.82,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.73,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.93,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.89,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.85,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.85,BPPO,18000000.0,academy_3_vs_1_with_keeper
