,win_rate,algo,step,scenario
0,0.02674066599394551,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.03811881188118812,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.03412073490813648,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.040621865596790374,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.026153846153846153,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.025173064820641914,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.010303030303030303,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.0293141592920354,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.040271966527196654,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.04988789237668161,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.11633543383422201,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.26425855513307983,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.3613926840017629,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.282519397535372,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.3454918032786885,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.6422155688622755,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.7029229904440697,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.7792207792207793,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.8235145385587863,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.7714205186020293,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.7052889024763069,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.719623502567028,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.7397063057875036,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.829709259711703,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.7547550432276657,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.7693188322839153,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.7792721518987342,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.8106870229007633,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.8807511737089202,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.8646989374262102,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.7696292257360959,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.7265376840889403,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.776992651215376,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.8245389344262295,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.8193082085699536,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.8353796041092458,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.8548465660009742,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.8336673346693386,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.869418891631142,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.8555555555555555,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.8529923019617581,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.852810650887574,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.8465262648269184,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.8613396004700352,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7605417837975977,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.8624325649828347,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.8140020898641588,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.8341559723593287,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.8421981346105369,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.8492315198828982,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.028748341441839895,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.03933518005540166,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.08312593330014932,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.3138337012509198,BPPO,1600000.0,academy_3_vs_1_with_keeper
4,0.4336856460961473,BPPO,2000000.0,academy_3_vs_1_with_keeper
5,0.5803298717165547,BPPO,2400000.0,academy_3_vs_1_with_keeper
6,0.5580398162327718,BPPO,2800000.0,academy_3_vs_1_with_keeper
7,0.5807243707796194,BPPO,3200000.0,academy_3_vs_1_with_keeper
8,0.6431445372949551,BPPO,3600000.0,academy_3_vs_1_with_keeper
9,0.5712924738012067,BPPO,4000000.0,academy_3_vs_1_with_keeper
10,0.5553621169916435,BPPO,4400000.0,academy_3_vs_1_with_keeper
11,0.6869216533004319,BPPO,4800000.0,academy_3_vs_1_with_keeper
12,0.6745182012847966,BPPO,5200000.0,academy_3_vs_1_with_keeper
13,0.7482014388489209,BPPO,5600000.0,academy_3_vs_1_with_keeper
14,0.6795514901150782,BPPO,6000000.0,academy_3_vs_1_with_keeper
15,0.7359932088285229,BPPO,6400000.0,academy_3_vs_1_with_keeper
16,0.7130825379000562,BPPO,6800000.0,academy_3_vs_1_with_keeper
17,0.7712300566134843,BPPO,7200000.0,academy_3_vs_1_with_keeper
18,0.753173102889549,BPPO,7600000.0,academy_3_vs_1_with_keeper
19,0.7264653641207816,BPPO,8000000.0,academy_3_vs_1_with_keeper
20,0.734915641978839,BPPO,8400000.0,academy_3_vs_1_with_keeper
21,0.7632548908420754,BPPO,8800000.0,academy_3_vs_1_with_keeper
22,0.6956391875746715,BPPO,9200000.0,academy_3_vs_1_with_keeper
23,0.7523703290574456,BPPO,9600000.0,academy_3_vs_1_with_keeper
24,0.7496594933260692,BPPO,10000000.0,academy_3_vs_1_with_keeper
25,0.781416400425985,BPPO,10400000.0,academy_3_vs_1_with_keeper
26,0.7924773022049286,BPPO,10800000.0,academy_3_vs_1_with_keeper
27,0.7724535218643624,BPPO,11200000.0,academy_3_vs_1_with_keeper
28,0.7796519410977242,BPPO,11600000.0,academy_3_vs_1_with_keeper
29,0.7917433605048646,BPPO,12000000.0,academy_3_vs_1_with_keeper
30,0.7993293783853495,BPPO,12400000.0,academy_3_vs_1_with_keeper
31,0.8036400922840298,BPPO,12800000.0,academy_3_vs_1_with_keeper
32,0.7863180137348125,BPPO,13200000.0,academy_3_vs_1_with_keeper
33,0.7841631355932204,BPPO,13600000.0,academy_3_vs_1_with_keeper
34,0.7701179554390564,BPPO,14000000.0,academy_3_vs_1_with_keeper
35,0.7963293397909763,BPPO,14400000.0,academy_3_vs_1_with_keeper
36,0.7537848605577689,BPPO,14800000.0,academy_3_vs_1_with_keeper
37,0.7925907258064516,BPPO,15200000.0,academy_3_vs_1_with_keeper
38,0.7909618783135571,BPPO,15600000.0,academy_3_vs_1_with_keeper
39,0.7391186807245201,BPPO,16000000.0,academy_3_vs_1_with_keeper
40,0.7443835616438356,BPPO,16400000.0,academy_3_vs_1_with_keeper
41,0.8137254901960784,BPPO,16800000.0,academy_3_vs_1_with_keeper
42,0.8111959287531807,BPPO,17200000.0,academy_3_vs_1_with_keeper
43,0.7407024793388429,BPPO,17600000.0,academy_3_vs_1_with_keeper
44,0.7810033104150751,BPPO,18000000.0,academy_3_vs_1_with_keeper
45,0.812454032851189,BPPO,18400000.0,academy_3_vs_1_with_keeper
46,0.7983425414364641,BPPO,18800000.0,academy_3_vs_1_with_keeper
47,0.8102862688015526,BPPO,19200000.0,academy_3_vs_1_with_keeper
48,0.832502965599051,BPPO,19600000.0,academy_3_vs_1_with_keeper
49,0.7998521074685728,BPPO,20000000.0,academy_3_vs_1_with_keeper
0,0.028135431568907965,BPPO,400000.0,academy_3_vs_1_with_keeper
1,0.07755102040816327,BPPO,800000.0,academy_3_vs_1_with_keeper
2,0.1680482290881688,BPPO,1200000.0,academy_3_vs_1_with_keeper
3,0.32192010741859683,BPPO,1600000.0,academy_3_vs_1_with_keeper
