,eval_win_rate,algo,step,scenario
0,0.01,BPPO,400000.0,academy_corner
1,0.02,BPPO,800000.0,academy_corner
2,0.06,BPPO,1200000.0,academy_corner
3,0.2,BPPO,1600000.0,academy_corner
4,0.51,BPPO,2000000.0,academy_corner
5,0.63,BPPO,2400000.0,academy_corner
6,0.54,BPPO,2800000.0,academy_corner
7,0.63,BPPO,3200000.0,academy_corner
8,0.52,BPPO,3600000.0,academy_corner
9,0.5,BPPO,4000000.0,academy_corner
10,0.6,BPPO,4400000.0,academy_corner
11,0.6,BPPO,4800000.0,academy_corner
12,0.65,BPPO,5200000.0,academy_corner
13,0.55,BPPO,5600000.0,academy_corner
14,0.53,BPPO,6000000.0,academy_corner
15,0.54,BPPO,6400000.0,academy_corner
16,0.6,BPPO,6800000.0,academy_corner
17,0.64,BPPO,7200000.0,academy_corner
18,0.54,BPPO,7600000.0,academy_corner
19,0.58,BPPO,8000000.0,academy_corner
20,0.7,BPPO,8400000.0,academy_corner
21,0.65,BPPO,8800000.0,academy_corner
22,0.63,BPPO,9200000.0,academy_corner
23,0.59,BPPO,9600000.0,academy_corner
24,0.77,BPPO,10000000.0,academy_corner
25,0.73,BPPO,10400000.0,academy_corner
26,0.64,BPPO,10800000.0,academy_corner
27,0.64,BPPO,11200000.0,academy_corner
28,0.7,BPPO,11600000.0,academy_corner
29,0.61,BPPO,12000000.0,academy_corner
30,0.69,BPPO,12400000.0,academy_corner
31,0.67,BPPO,12800000.0,academy_corner
32,0.68,BPPO,13200000.0,academy_corner
33,0.45,BPPO,13600000.0,academy_corner
34,0.69,BPPO,14000000.0,academy_corner
35,0.72,BPPO,14400000.0,academy_corner
36,0.7,BPPO,14800000.0,academy_corner
37,0.67,BPPO,15200000.0,academy_corner
38,0.71,BPPO,15600000.0,academy_corner
39,0.64,BPPO,16000000.0,academy_corner
40,0.69,BPPO,16400000.0,academy_corner
41,0.75,BPPO,16800000.0,academy_corner
42,0.77,BPPO,17200000.0,academy_corner
43,0.42,BPPO,17600000.0,academy_corner
44,0.7,BPPO,18000000.0,academy_corner
45,0.76,BPPO,18400000.0,academy_corner
46,0.66,BPPO,18800000.0,academy_corner
47,0.76,BPPO,19200000.0,academy_corner
48,0.77,BPPO,19600000.0,academy_corner
49,0.77,BPPO,20000000.0,academy_corner
0,0.01,BPPO,400000.0,academy_corner
1,0.04,BPPO,800000.0,academy_corner
2,0.19,BPPO,1200000.0,academy_corner
3,0.36,BPPO,1600000.0,academy_corner
4,0.49,BPPO,2000000.0,academy_corner
5,0.67,BPPO,2400000.0,academy_corner
6,0.53,BPPO,2800000.0,academy_corner
7,0.63,BPPO,3200000.0,academy_corner
8,0.62,BPPO,3600000.0,academy_corner
9,0.51,BPPO,4000000.0,academy_corner
10,0.58,BPPO,4400000.0,academy_corner
11,0.47,BPPO,4800000.0,academy_corner
12,0.61,BPPO,5200000.0,academy_corner
13,0.59,BPPO,5600000.0,academy_corner
14,0.63,BPPO,6000000.0,academy_corner
15,0.53,BPPO,6400000.0,academy_corner
16,0.33,BPPO,6800000.0,academy_corner
17,0.59,BPPO,7200000.0,academy_corner
18,0.45,BPPO,7600000.0,academy_corner
19,0.67,BPPO,8000000.0,academy_corner
20,0.67,BPPO,8400000.0,academy_corner
21,0.62,BPPO,8800000.0,academy_corner
22,0.63,BPPO,9200000.0,academy_corner
23,0.66,BPPO,9600000.0,academy_corner
24,0.53,BPPO,10000000.0,academy_corner
25,0.54,BPPO,10400000.0,academy_corner
26,0.7,BPPO,10800000.0,academy_corner
27,0.61,BPPO,11200000.0,academy_corner
28,0.58,BPPO,11600000.0,academy_corner
29,0.63,BPPO,12000000.0,academy_corner
30,0.66,BPPO,12400000.0,academy_corner
31,0.71,BPPO,12800000.0,academy_corner
32,0.69,BPPO,13200000.0,academy_corner
33,0.69,BPPO,13600000.0,academy_corner
34,0.68,BPPO,14000000.0,academy_corner
35,0.63,BPPO,14400000.0,academy_corner
36,0.61,BPPO,14800000.0,academy_corner
37,0.67,BPPO,15200000.0,academy_corner
38,0.57,BPPO,15600000.0,academy_corner
39,0.64,BPPO,16000000.0,academy_corner
40,0.71,BPPO,16400000.0,academy_corner
41,0.63,BPPO,16800000.0,academy_corner
42,0.7,BPPO,17200000.0,academy_corner
43,0.58,BPPO,17600000.0,academy_corner
44,0.54,BPPO,18000000.0,academy_corner
45,0.61,BPPO,18400000.0,academy_corner
