,eval_win_rate,algo,step,scenario
0,0.0,BPPO,400000.0,academy_counterattack_hard
1,0.01,BPPO,800000.0,academy_counterattack_hard
2,0.0,BPPO,1200000.0,academy_counterattack_hard
3,0.02,BPPO,1600000.0,academy_counterattack_hard
4,0.0,BPPO,2000000.0,academy_counterattack_hard
5,0.02,BPPO,2400000.0,academy_counterattack_hard
6,0.08,BPPO,2800000.0,academy_counterattack_hard
7,0.11,BPPO,3200000.0,academy_counterattack_hard
8,0.3,BPPO,3600000.0,academy_counterattack_hard
9,0.35,BPPO,4000000.0,academy_counterattack_hard
10,0.38,BPPO,4400000.0,academy_counterattack_hard
11,0.37,BPPO,4800000.0,academy_counterattack_hard
12,0.59,BPPO,5200000.0,academy_counterattack_hard
13,0.49,BPPO,5600000.0,academy_counterattack_hard
14,0.52,BPPO,6000000.0,academy_counterattack_hard
15,0.58,BPPO,6400000.0,academy_counterattack_hard
16,0.55,BPPO,6800000.0,academy_counterattack_hard
17,0.61,BPPO,7200000.0,academy_counterattack_hard
18,0.6,BPPO,7600000.0,academy_counterattack_hard
19,0.65,BPPO,8000000.0,academy_counterattack_hard
20,0.55,BPPO,8400000.0,academy_counterattack_hard
21,0.66,BPPO,8800000.0,academy_counterattack_hard
22,0.62,BPPO,9200000.0,academy_counterattack_hard
23,0.67,BPPO,9600000.0,academy_counterattack_hard
24,0.57,BPPO,10000000.0,academy_counterattack_hard
25,0.71,BPPO,10400000.0,academy_counterattack_hard
26,0.69,BPPO,10800000.0,academy_counterattack_hard
27,0.73,BPPO,11200000.0,academy_counterattack_hard
28,0.74,BPPO,11600000.0,academy_counterattack_hard
29,0.74,BPPO,12000000.0,academy_counterattack_hard
30,0.77,BPPO,12400000.0,academy_counterattack_hard
31,0.7,BPPO,12800000.0,academy_counterattack_hard
32,0.83,BPPO,13200000.0,academy_counterattack_hard
33,0.85,BPPO,13600000.0,academy_counterattack_hard
34,0.77,BPPO,14000000.0,academy_counterattack_hard
35,0.61,BPPO,14400000.0,academy_counterattack_hard
36,0.73,BPPO,14800000.0,academy_counterattack_hard
37,0.84,BPPO,15200000.0,academy_counterattack_hard
38,0.77,BPPO,15600000.0,academy_counterattack_hard
39,0.88,BPPO,16000000.0,academy_counterattack_hard
40,0.85,BPPO,16400000.0,academy_counterattack_hard
41,0.74,BPPO,16800000.0,academy_counterattack_hard
42,0.82,BPPO,17200000.0,academy_counterattack_hard
43,0.8,BPPO,17600000.0,academy_counterattack_hard
44,0.86,BPPO,18000000.0,academy_counterattack_hard
45,0.71,BPPO,18400000.0,academy_counterattack_hard
46,0.75,BPPO,18800000.0,academy_counterattack_hard
47,0.75,BPPO,19200000.0,academy_counterattack_hard
48,0.77,BPPO,19600000.0,academy_counterattack_hard
49,0.75,BPPO,20000000.0,academy_counterattack_hard
0,0.0,BPPO,400000.0,academy_counterattack_hard
1,0.0,BPPO,800000.0,academy_counterattack_hard
2,0.0,BPPO,1200000.0,academy_counterattack_hard
3,0.0,BPPO,1600000.0,academy_counterattack_hard
4,0.0,BPPO,2000000.0,academy_counterattack_hard
5,0.0,BPPO,2400000.0,academy_counterattack_hard
6,0.02,BPPO,2800000.0,academy_counterattack_hard
7,0.02,BPPO,3200000.0,academy_counterattack_hard
8,0.0,BPPO,3600000.0,academy_counterattack_hard
9,0.02,BPPO,4000000.0,academy_counterattack_hard
10,0.02,BPPO,4400000.0,academy_counterattack_hard
11,0.0,BPPO,4800000.0,academy_counterattack_hard
12,0.01,BPPO,5200000.0,academy_counterattack_hard
13,0.02,BPPO,5600000.0,academy_counterattack_hard
14,0.0,BPPO,6000000.0,academy_counterattack_hard
15,0.02,BPPO,6400000.0,academy_counterattack_hard
16,0.14,BPPO,6800000.0,academy_counterattack_hard
17,0.17,BPPO,7200000.0,academy_counterattack_hard
18,0.28,BPPO,7600000.0,academy_counterattack_hard
19,0.4,BPPO,8000000.0,academy_counterattack_hard
20,0.38,BPPO,8400000.0,academy_counterattack_hard
21,0.34,BPPO,8800000.0,academy_counterattack_hard
22,0.37,BPPO,9200000.0,academy_counterattack_hard
23,0.52,BPPO,9600000.0,academy_counterattack_hard
24,0.45,BPPO,10000000.0,academy_counterattack_hard
25,0.41,BPPO,10400000.0,academy_counterattack_hard
26,0.33,BPPO,10800000.0,academy_counterattack_hard
27,0.26,BPPO,11200000.0,academy_counterattack_hard
