,eval_average_episode_rewards,algo,step,scenario
0,0.0,MAVEN,10000.0,climbing
1,2.45,MAVEN,20000.0,climbing
2,5.0,MAVEN,30000.0,climbing
3,2.9,MAVEN,40000.0,climbing
4,0.0,MAVEN,50000.0,climbing
5,5.0,MAVEN,60000.0,climbing
6,2.5,MAVEN,70000.0,climbing
7,5.0,MAVEN,80000.0,climbing
8,0.0,MAVEN,90000.0,climbing
9,2.6,MAVEN,100000.0,climbing
10,0.0,MAVEN,110000.0,climbing
11,0.0,MAVEN,120000.0,climbing
12,-15.24,MAVEN,130000.0,climbing
13,-4.99,MAVEN,140000.0,climbing
14,-9.09,MAVEN,150000.0,climbing
15,-15.9,MAVEN,160000.0,climbing
16,-14.7,MAVEN,170000.0,climbing
17,2.3,MAVEN,180000.0,climbing
18,5.38,MAVEN,190000.0,climbing
19,2.15,MAVEN,200000.0,climbing
0,0.0,MAVEN,10000.0,climbing
1,11.0,MAVEN,20000.0,climbing
2,-30.0,MAVEN,30000.0,climbing
3,0.0,MAVEN,40000.0,climbing
4,0.0,MAVEN,50000.0,climbing
5,-30.0,MAVEN,60000.0,climbing
6,0.0,MAVEN,70000.0,climbing
7,11.0,MAVEN,80000.0,climbing
8,11.0,MAVEN,90000.0,climbing
9,-30.0,MAVEN,100000.0,climbing
10,0.0,MAVEN,110000.0,climbing
11,0.0,MAVEN,120000.0,climbing
12,0.0,MAVEN,130000.0,climbing
13,0.0,MAVEN,140000.0,climbing
14,-15.6,MAVEN,150000.0,climbing
15,-30.0,MAVEN,160000.0,climbing
16,11.0,MAVEN,170000.0,climbing
17,-11.55,MAVEN,180000.0,climbing
18,-30.0,MAVEN,190000.0,climbing
19,7.0,MAVEN,200000.0,climbing
0,6.52,MAVEN,10000.0,climbing
1,3.78,MAVEN,20000.0,climbing
2,6.52,MAVEN,30000.0,climbing
3,2.94,MAVEN,40000.0,climbing
4,6.54,MAVEN,50000.0,climbing
5,6.52,MAVEN,60000.0,climbing
6,4.06,MAVEN,70000.0,climbing
7,3.5,MAVEN,80000.0,climbing
8,3.15,MAVEN,90000.0,climbing
9,6.42,MAVEN,100000.0,climbing
10,6.47,MAVEN,110000.0,climbing
11,5.84,MAVEN,120000.0,climbing
12,6.04,MAVEN,130000.0,climbing
13,6.14,MAVEN,140000.0,climbing
14,6.04,MAVEN,150000.0,climbing
15,6.49,MAVEN,160000.0,climbing
16,7.0,MAVEN,170000.0,climbing
17,3.29,MAVEN,180000.0,climbing
18,4.06,MAVEN,190000.0,climbing
19,-11.13,MAVEN,200000.0,climbing
0,0.0,MAVEN,10000.0,climbing
1,-13.2,MAVEN,20000.0,climbing
2,-14.4,MAVEN,30000.0,climbing
3,-11.7,MAVEN,40000.0,climbing
4,3.85,MAVEN,50000.0,climbing
5,3.99,MAVEN,60000.0,climbing
6,-13.35,MAVEN,70000.0,climbing
7,0.0,MAVEN,80000.0,climbing
8,-13.8,MAVEN,90000.0,climbing
9,-12.9,MAVEN,100000.0,climbing
10,-30.0,MAVEN,110000.0,climbing
11,-30.0,MAVEN,120000.0,climbing
12,3.85,MAVEN,130000.0,climbing
13,3.57,MAVEN,140000.0,climbing
14,7.0,MAVEN,150000.0,climbing
15,3.99,MAVEN,160000.0,climbing
16,-16.8,MAVEN,170000.0,climbing
17,-13.5,MAVEN,180000.0,climbing
18,-16.31,MAVEN,190000.0,climbing
19,3.71,MAVEN,200000.0,climbing
0,3.43,MAVEN,10000.0,climbing
1,7.0,MAVEN,20000.0,climbing
2,2.66,MAVEN,30000.0,climbing
3,0.0,MAVEN,40000.0,climbing
4,7.0,MAVEN,50000.0,climbing
5,3.0,MAVEN,60000.0,climbing
6,3.18,MAVEN,70000.0,climbing
7,2.5,MAVEN,80000.0,climbing
8,6.51,MAVEN,90000.0,climbing
9,3.64,MAVEN,100000.0,climbing
10,5.9,MAVEN,110000.0,climbing
11,2.4,MAVEN,120000.0,climbing
12,2.7,MAVEN,130000.0,climbing
13,6.39,MAVEN,140000.0,climbing
14,6.49,MAVEN,150000.0,climbing
15,2.34,MAVEN,160000.0,climbing
16,11.0,MAVEN,170000.0,climbing
17,11.0,MAVEN,180000.0,climbing
18,11.0,MAVEN,190000.0,climbing
19,11.0,MAVEN,200000.0,climbing
0,5.0,AengMixer,10000.0,climbing
1,5.0,AengMixer,20000.0,climbing
2,0.0,AengMixer,30000.0,climbing
3,0.0,AengMixer,40000.0,climbing
4,0.0,AengMixer,50000.0,climbing
5,11.0,AengMixer,60000.0,climbing
6,11.0,AengMixer,70000.0,climbing
7,11.0,AengMixer,80000.0,climbing
8,11.0,AengMixer,90000.0,climbing
9,11.0,AengMixer,100000.0,climbing
10,11.0,AengMixer,110000.0,climbing
11,11.0,AengMixer,120000.0,climbing
