,eval_average_episode_rewards,algo,step,scenario
0,-0.06906481167939062,MAPPO_FULL,4000.0,HalfCheetah-v2 3x2
1,753.4366564121302,MAPPO_FULL,104000.0,HalfCheetah-v2 3x2
2,2152.94665699217,MAPPO_FULL,204000.0,HalfCheetah-v2 3x2
3,2567.5035135956477,MAPPO_FULL,304000.0,HalfCheetah-v2 3x2
4,3047.7794204565157,MAPPO_FULL,404000.0,HalfCheetah-v2 3x2
5,3294.4086419778964,MAPPO_FULL,504000.0,HalfCheetah-v2 3x2
6,3173.52996410474,MAPPO_FULL,604000.0,HalfCheetah-v2 3x2
7,3227.2881024956255,MAPPO_FULL,704000.0,HalfCheetah-v2 3x2
8,3415.894587587776,MAPPO_FULL,804000.0,HalfCheetah-v2 3x2
9,3178.0209212969776,MAPPO_FULL,904000.0,HalfCheetah-v2 3x2
10,3169.739559473241,MAPPO_FULL,1004000.0,HalfCheetah-v2 3x2
11,3535.81708612435,MAPPO_FULL,1104000.0,HalfCheetah-v2 3x2
12,2522.9981533621362,MAPPO_FULL,1204000.0,HalfCheetah-v2 3x2
13,3818.5877741095333,MAPPO_FULL,1304000.0,HalfCheetah-v2 3x2
14,3623.910521027159,MAPPO_FULL,1404000.0,HalfCheetah-v2 3x2
15,3934.3611173057807,MAPPO_FULL,1504000.0,HalfCheetah-v2 3x2
16,3384.8233088696425,MAPPO_FULL,1604000.0,HalfCheetah-v2 3x2
17,4564.048737548312,MAPPO_FULL,1704000.0,HalfCheetah-v2 3x2
18,4254.426647622876,MAPPO_FULL,1804000.0,HalfCheetah-v2 3x2
19,4800.547920894332,MAPPO_FULL,1904000.0,HalfCheetah-v2 3x2
20,4599.889379628528,MAPPO_FULL,2004000.0,HalfCheetah-v2 3x2
21,4912.667873327184,MAPPO_FULL,2104000.0,HalfCheetah-v2 3x2
22,5111.301964731151,MAPPO_FULL,2204000.0,HalfCheetah-v2 3x2
23,4931.720391582898,MAPPO_FULL,2304000.0,HalfCheetah-v2 3x2
24,5382.287759758097,MAPPO_FULL,2404000.0,HalfCheetah-v2 3x2
25,5203.882650404556,MAPPO_FULL,2504000.0,HalfCheetah-v2 3x2
26,5232.292011522127,MAPPO_FULL,2604000.0,HalfCheetah-v2 3x2
27,5297.5431745951355,MAPPO_FULL,2704000.0,HalfCheetah-v2 3x2
28,5427.641199634245,MAPPO_FULL,2804000.0,HalfCheetah-v2 3x2
29,5446.964915022877,MAPPO_FULL,2904000.0,HalfCheetah-v2 3x2
30,5345.0407301149235,MAPPO_FULL,3004000.0,HalfCheetah-v2 3x2
31,5332.187875104989,MAPPO_FULL,3104000.0,HalfCheetah-v2 3x2
32,5025.591327694813,MAPPO_FULL,3204000.0,HalfCheetah-v2 3x2
33,4980.733618528565,MAPPO_FULL,3304000.0,HalfCheetah-v2 3x2
34,4216.882504549978,MAPPO_FULL,3404000.0,HalfCheetah-v2 3x2
35,5394.61965594128,MAPPO_FULL,3504000.0,HalfCheetah-v2 3x2
36,5335.561154843616,MAPPO_FULL,3604000.0,HalfCheetah-v2 3x2
37,4367.4218406604505,MAPPO_FULL,3704000.0,HalfCheetah-v2 3x2
38,5525.453865599805,MAPPO_FULL,3804000.0,HalfCheetah-v2 3x2
39,5449.043177267775,MAPPO_FULL,3904000.0,HalfCheetah-v2 3x2
40,4306.182957286279,MAPPO_FULL,4004000.0,HalfCheetah-v2 3x2
41,5377.5055829119065,MAPPO_FULL,4104000.0,HalfCheetah-v2 3x2
42,4458.638574207328,MAPPO_FULL,4204000.0,HalfCheetah-v2 3x2
43,3580.8180254849403,MAPPO_FULL,4304000.0,HalfCheetah-v2 3x2
44,5649.397195770123,MAPPO_FULL,4404000.0,HalfCheetah-v2 3x2
45,5678.875102622508,MAPPO_FULL,4504000.0,HalfCheetah-v2 3x2
46,5514.223804811535,MAPPO_FULL,4604000.0,HalfCheetah-v2 3x2
47,5790.817130907136,MAPPO_FULL,4704000.0,HalfCheetah-v2 3x2
48,5646.48433774772,MAPPO_FULL,4804000.0,HalfCheetah-v2 3x2
49,4651.4622675481,MAPPO_FULL,4904000.0,HalfCheetah-v2 3x2
50,5778.311443114088,MAPPO_FULL,5004000.0,HalfCheetah-v2 3x2
51,5642.869561634483,MAPPO_FULL,5104000.0,HalfCheetah-v2 3x2
52,4753.393855476692,MAPPO_FULL,5204000.0,HalfCheetah-v2 3x2
53,5777.953388043663,MAPPO_FULL,5304000.0,HalfCheetah-v2 3x2
54,5648.118162059042,MAPPO_FULL,5404000.0,HalfCheetah-v2 3x2
55,5770.722999669077,MAPPO_FULL,5504000.0,HalfCheetah-v2 3x2
56,5766.564347100128,MAPPO_FULL,5604000.0,HalfCheetah-v2 3x2
57,5970.0890566466405,MAPPO_FULL,5704000.0,HalfCheetah-v2 3x2
58,6095.102139239981,MAPPO_FULL,5804000.0,HalfCheetah-v2 3x2
59,6057.213834761257,MAPPO_FULL,5904000.0,HalfCheetah-v2 3x2
60,6064.080884645679,MAPPO_FULL,6004000.0,HalfCheetah-v2 3x2
61,6073.231058632142,MAPPO_FULL,6104000.0,HalfCheetah-v2 3x2
62,6058.757211812112,MAPPO_FULL,6204000.0,HalfCheetah-v2 3x2
63,5770.498323706489,MAPPO_FULL,6304000.0,HalfCheetah-v2 3x2
64,4778.162983086463,MAPPO_FULL,6404000.0,HalfCheetah-v2 3x2
65,5962.775601678326,MAPPO_FULL,6504000.0,HalfCheetah-v2 3x2
66,5721.379707347545,MAPPO_FULL,6604000.0,HalfCheetah-v2 3x2
67,5911.150728339883,MAPPO_FULL,6704000.0,HalfCheetah-v2 3x2
68,5614.578916629825,MAPPO_FULL,6804000.0,HalfCheetah-v2 3x2
69,5832.517046125,MAPPO_FULL,6904000.0,HalfCheetah-v2 3x2
70,5744.144156733687,MAPPO_FULL,7004000.0,HalfCheetah-v2 3x2
71,5778.8039160965745,MAPPO_FULL,7104000.0,HalfCheetah-v2 3x2
72,5876.822441169303,MAPPO_FULL,7204000.0,HalfCheetah-v2 3x2
73,5829.650307001927,MAPPO_FULL,7304000.0,HalfCheetah-v2 3x2
74,5858.023271819008,MAPPO_FULL,7404000.0,HalfCheetah-v2 3x2
75,5800.37566297167,MAPPO_FULL,7504000.0,HalfCheetah-v2 3x2
76,6071.715499216132,MAPPO_FULL,7604000.0,HalfCheetah-v2 3x2
77,4850.726816275304,MAPPO_FULL,7704000.0,HalfCheetah-v2 3x2
78,6005.8103866931715,MAPPO_FULL,7804000.0,HalfCheetah-v2 3x2
79,5998.519923679368,MAPPO_FULL,7904000.0,HalfCheetah-v2 3x2
80,5031.144683718593,MAPPO_FULL,8004000.0,HalfCheetah-v2 3x2
81,5930.446996019746,MAPPO_FULL,8104000.0,HalfCheetah-v2 3x2
82,5768.994086230441,MAPPO_FULL,8204000.0,HalfCheetah-v2 3x2
83,6029.5846693642325,MAPPO_FULL,8304000.0,HalfCheetah-v2 3x2
84,5017.998060127206,MAPPO_FULL,8404000.0,HalfCheetah-v2 3x2
85,6061.857202526099,MAPPO_FULL,8504000.0,HalfCheetah-v2 3x2
86,6134.813880385086,MAPPO_FULL,8604000.0,HalfCheetah-v2 3x2
87,6104.382124992563,MAPPO_FULL,8704000.0,HalfCheetah-v2 3x2
88,6060.2342603340885,MAPPO_FULL,8804000.0,HalfCheetah-v2 3x2
89,6093.591585905918,MAPPO_FULL,8904000.0,HalfCheetah-v2 3x2
90,6204.0599994564745,MAPPO_FULL,9004000.0,HalfCheetah-v2 3x2
91,6246.409623513446,MAPPO_FULL,9104000.0,HalfCheetah-v2 3x2
92,6187.445162043144,MAPPO_FULL,9204000.0,HalfCheetah-v2 3x2
93,6166.787992574792,MAPPO_FULL,9304000.0,HalfCheetah-v2 3x2
94,6164.946367129843,MAPPO_FULL,9404000.0,HalfCheetah-v2 3x2
95,6288.403787416887,MAPPO_FULL,9504000.0,HalfCheetah-v2 3x2
96,6237.38549745481,MAPPO_FULL,9604000.0,HalfCheetah-v2 3x2
97,6266.077950900475,MAPPO_FULL,9704000.0,HalfCheetah-v2 3x2
98,6153.586211546249,MAPPO_FULL,9804000.0,HalfCheetah-v2 3x2
99,6128.107152575716,MAPPO_FULL,9904000.0,HalfCheetah-v2 3x2
0,-0.5834729350421725,MAPPO_FULL,4000.0,HalfCheetah-v2 3x2
1,776.2965025775942,MAPPO_FULL,104000.0,HalfCheetah-v2 3x2
2,706.0606538344764,MAPPO_FULL,204000.0,HalfCheetah-v2 3x2
3,1003.1059930062049,MAPPO_FULL,304000.0,HalfCheetah-v2 3x2
4,1110.0952730533875,MAPPO_FULL,404000.0,HalfCheetah-v2 3x2
5,1565.612904023723,MAPPO_FULL,504000.0,HalfCheetah-v2 3x2
6,1267.1311176507152,MAPPO_FULL,604000.0,HalfCheetah-v2 3x2
7,1535.8055127203609,MAPPO_FULL,704000.0,HalfCheetah-v2 3x2
8,2606.4170977272324,MAPPO_FULL,804000.0,HalfCheetah-v2 3x2
9,2591.0853350516777,MAPPO_FULL,904000.0,HalfCheetah-v2 3x2
10,2639.4407834680305,MAPPO_FULL,1004000.0,HalfCheetah-v2 3x2
11,2564.2617614497335,MAPPO_FULL,1104000.0,HalfCheetah-v2 3x2
12,3203.7048763895427,MAPPO_FULL,1204000.0,HalfCheetah-v2 3x2
13,3891.354877619117,MAPPO_FULL,1304000.0,HalfCheetah-v2 3x2
14,4257.943435910675,MAPPO_FULL,1404000.0,HalfCheetah-v2 3x2
15,4235.431426132916,MAPPO_FULL,1504000.0,HalfCheetah-v2 3x2
16,3040.2433889359872,MAPPO_FULL,1604000.0,HalfCheetah-v2 3x2
17,4449.263438610797,MAPPO_FULL,1704000.0,HalfCheetah-v2 3x2
18,4746.246896117782,MAPPO_FULL,1804000.0,HalfCheetah-v2 3x2
19,4608.108421857336,MAPPO_FULL,1904000.0,HalfCheetah-v2 3x2
20,3955.532841019372,MAPPO_FULL,2004000.0,HalfCheetah-v2 3x2
21,4132.794587787066,MAPPO_FULL,2104000.0,HalfCheetah-v2 3x2
22,4308.64233413244,MAPPO_FULL,2204000.0,HalfCheetah-v2 3x2
23,4663.3148417475295,MAPPO_FULL,2304000.0,HalfCheetah-v2 3x2
24,4324.043700447046,MAPPO_FULL,2404000.0,HalfCheetah-v2 3x2
25,4669.546878124064,MAPPO_FULL,2504000.0,HalfCheetah-v2 3x2
26,4749.192435903208,MAPPO_FULL,2604000.0,HalfCheetah-v2 3x2
27,4724.287288184612,MAPPO_FULL,2704000.0,HalfCheetah-v2 3x2
28,4578.035750856548,MAPPO_FULL,2804000.0,HalfCheetah-v2 3x2
29,4916.96113419031,MAPPO_FULL,2904000.0,HalfCheetah-v2 3x2
30,4724.10501812262,MAPPO_FULL,3004000.0,HalfCheetah-v2 3x2
31,5081.899028680947,MAPPO_FULL,3104000.0,HalfCheetah-v2 3x2
32,5023.2085576615855,MAPPO_FULL,3204000.0,HalfCheetah-v2 3x2
33,5014.713368741171,MAPPO_FULL,3304000.0,HalfCheetah-v2 3x2
34,4746.987044657339,MAPPO_FULL,3404000.0,HalfCheetah-v2 3x2
35,5137.1045994265705,MAPPO_FULL,3504000.0,HalfCheetah-v2 3x2
36,4801.188803802663,MAPPO_FULL,3604000.0,HalfCheetah-v2 3x2
37,4950.789122993515,MAPPO_FULL,3704000.0,HalfCheetah-v2 3x2
38,4696.599605976272,MAPPO_FULL,3804000.0,HalfCheetah-v2 3x2
39,4837.967667723927,MAPPO_FULL,3904000.0,HalfCheetah-v2 3x2
40,4903.9972054333375,MAPPO_FULL,4004000.0,HalfCheetah-v2 3x2
41,4826.504051467802,MAPPO_FULL,4104000.0,HalfCheetah-v2 3x2
42,5080.5653514923,MAPPO_FULL,4204000.0,HalfCheetah-v2 3x2
43,4888.200698330855,MAPPO_FULL,4304000.0,HalfCheetah-v2 3x2
44,4800.99089325839,MAPPO_FULL,4404000.0,HalfCheetah-v2 3x2
45,4978.205701525835,MAPPO_FULL,4504000.0,HalfCheetah-v2 3x2
46,5337.821328263071,MAPPO_FULL,4604000.0,HalfCheetah-v2 3x2
47,5071.7607290861215,MAPPO_FULL,4704000.0,HalfCheetah-v2 3x2
48,5022.6534897609945,MAPPO_FULL,4804000.0,HalfCheetah-v2 3x2
49,5405.629965789247,MAPPO_FULL,4904000.0,HalfCheetah-v2 3x2
50,5252.149753957328,MAPPO_FULL,5004000.0,HalfCheetah-v2 3x2
51,5295.270640332897,MAPPO_FULL,5104000.0,HalfCheetah-v2 3x2
52,5428.215125713453,MAPPO_FULL,5204000.0,HalfCheetah-v2 3x2
53,5364.192915897724,MAPPO_FULL,5304000.0,HalfCheetah-v2 3x2
54,5451.100308952509,MAPPO_FULL,5404000.0,HalfCheetah-v2 3x2
55,5341.38195474959,MAPPO_FULL,5504000.0,HalfCheetah-v2 3x2
56,5385.60971514729,MAPPO_FULL,5604000.0,HalfCheetah-v2 3x2
57,5452.914527769346,MAPPO_FULL,5704000.0,HalfCheetah-v2 3x2
58,5525.702788608759,MAPPO_FULL,5804000.0,HalfCheetah-v2 3x2
59,5392.563235899772,MAPPO_FULL,5904000.0,HalfCheetah-v2 3x2
60,5208.400741586361,MAPPO_FULL,6004000.0,HalfCheetah-v2 3x2
61,5513.338497649344,MAPPO_FULL,6104000.0,HalfCheetah-v2 3x2
62,5488.894181469221,MAPPO_FULL,6204000.0,HalfCheetah-v2 3x2
63,5616.535228262582,MAPPO_FULL,6304000.0,HalfCheetah-v2 3x2
64,5537.757888393298,MAPPO_FULL,6404000.0,HalfCheetah-v2 3x2
65,5548.890368374041,MAPPO_FULL,6504000.0,HalfCheetah-v2 3x2
66,5552.739452517647,MAPPO_FULL,6604000.0,HalfCheetah-v2 3x2
67,5469.07979950345,MAPPO_FULL,6704000.0,HalfCheetah-v2 3x2
68,5631.119749383052,MAPPO_FULL,6804000.0,HalfCheetah-v2 3x2
69,4884.479192169035,MAPPO_FULL,6904000.0,HalfCheetah-v2 3x2
70,5578.114984861787,MAPPO_FULL,7004000.0,HalfCheetah-v2 3x2
71,5639.002003663481,MAPPO_FULL,7104000.0,HalfCheetah-v2 3x2
72,5364.004880502031,MAPPO_FULL,7204000.0,HalfCheetah-v2 3x2
73,5462.274597379463,MAPPO_FULL,7304000.0,HalfCheetah-v2 3x2
