,eval_average_episode_rewards,algo,step,scenario
0,31722.743742823808,MAPPO_FULL,4000.0,HumanoidStandup-v2 17x1
1,83162.22743671986,MAPPO_FULL,104000.0,HumanoidStandup-v2 17x1
2,85795.46612187021,MAPPO_FULL,204000.0,HumanoidStandup-v2 17x1
3,106884.41794455731,MAPPO_FULL,304000.0,HumanoidStandup-v2 17x1
4,82572.74572595097,MAPPO_FULL,404000.0,HumanoidStandup-v2 17x1
5,96749.48730249441,MAPPO_FULL,504000.0,HumanoidStandup-v2 17x1
6,89310.39038119256,MAPPO_FULL,604000.0,HumanoidStandup-v2 17x1
7,89181.57101305298,MAPPO_FULL,704000.0,HumanoidStandup-v2 17x1
8,62006.94989753604,MAPPO_FULL,804000.0,HumanoidStandup-v2 17x1
9,127467.05535250135,MAPPO_FULL,904000.0,HumanoidStandup-v2 17x1
10,107404.69646565482,MAPPO_FULL,1004000.0,HumanoidStandup-v2 17x1
11,79833.64002962066,MAPPO_FULL,1104000.0,HumanoidStandup-v2 17x1
12,79543.28100066222,MAPPO_FULL,1204000.0,HumanoidStandup-v2 17x1
13,56967.59044149247,MAPPO_FULL,1304000.0,HumanoidStandup-v2 17x1
14,75879.51842988569,MAPPO_FULL,1404000.0,HumanoidStandup-v2 17x1
15,65786.6685894319,MAPPO_FULL,1504000.0,HumanoidStandup-v2 17x1
16,66776.63569940809,MAPPO_FULL,1604000.0,HumanoidStandup-v2 17x1
17,102551.55942513591,MAPPO_FULL,1704000.0,HumanoidStandup-v2 17x1
18,99473.8132871715,MAPPO_FULL,1804000.0,HumanoidStandup-v2 17x1
19,117420.26830162377,MAPPO_FULL,1904000.0,HumanoidStandup-v2 17x1
20,79724.81409162984,MAPPO_FULL,2004000.0,HumanoidStandup-v2 17x1
21,77365.48801419039,MAPPO_FULL,2104000.0,HumanoidStandup-v2 17x1
22,79437.82875465002,MAPPO_FULL,2204000.0,HumanoidStandup-v2 17x1
23,56113.02821620866,MAPPO_FULL,2304000.0,HumanoidStandup-v2 17x1
24,64755.70868563553,MAPPO_FULL,2404000.0,HumanoidStandup-v2 17x1
25,91777.63315757709,MAPPO_FULL,2504000.0,HumanoidStandup-v2 17x1
26,123970.10333501916,MAPPO_FULL,2604000.0,HumanoidStandup-v2 17x1
27,83084.49352219977,MAPPO_FULL,2704000.0,HumanoidStandup-v2 17x1
28,85326.69438545701,MAPPO_FULL,2804000.0,HumanoidStandup-v2 17x1
29,54804.995754756856,MAPPO_FULL,2904000.0,HumanoidStandup-v2 17x1
30,46444.16051540784,MAPPO_FULL,3004000.0,HumanoidStandup-v2 17x1
31,57026.40549142518,MAPPO_FULL,3104000.0,HumanoidStandup-v2 17x1
32,60836.38014337173,MAPPO_FULL,3204000.0,HumanoidStandup-v2 17x1
33,70792.47253379314,MAPPO_FULL,3304000.0,HumanoidStandup-v2 17x1
34,72008.64240971702,MAPPO_FULL,3404000.0,HumanoidStandup-v2 17x1
35,69970.86129611227,MAPPO_FULL,3504000.0,HumanoidStandup-v2 17x1
36,93440.16778516094,MAPPO_FULL,3604000.0,HumanoidStandup-v2 17x1
37,71383.6096916967,MAPPO_FULL,3704000.0,HumanoidStandup-v2 17x1
38,74409.19419354913,MAPPO_FULL,3804000.0,HumanoidStandup-v2 17x1
39,69225.53452540025,MAPPO_FULL,3904000.0,HumanoidStandup-v2 17x1
40,93849.50588075965,MAPPO_FULL,4004000.0,HumanoidStandup-v2 17x1
41,106312.96967527253,MAPPO_FULL,4104000.0,HumanoidStandup-v2 17x1
42,93239.7709827358,MAPPO_FULL,4204000.0,HumanoidStandup-v2 17x1
43,100446.91388601364,MAPPO_FULL,4304000.0,HumanoidStandup-v2 17x1
44,120516.28936886572,MAPPO_FULL,4404000.0,HumanoidStandup-v2 17x1
45,113145.5465659172,MAPPO_FULL,4504000.0,HumanoidStandup-v2 17x1
46,135878.4417425835,MAPPO_FULL,4604000.0,HumanoidStandup-v2 17x1
