,eval_win_rate,algo,step,scenario
0,0.0,MAT,10000.0,10gen_terran 10v10
1,0.0,MAT,260000.0,10gen_terran 10v10
2,0.00625,MAT,510000.0,10gen_terran 10v10
3,0.011250000000000001,MAT,760000.0,10gen_terran 10v10
4,0.021500000000000002,MAT,1010000.0,10gen_terran 10v10
5,0.029700000000000004,MAT,1260000.0,10gen_terran 10v10
6,0.042510000000000006,MAT,1510000.0,10gen_terran 10v10
7,0.059008000000000005,MAT,1760000.0,10gen_terran 10v10
8,0.05970640000000001,MAT,2010000.0,10gen_terran 10v10
9,0.06651512000000001,MAT,2260000.0,10gen_terran 10v10
10,0.09071209600000002,MAT,2510000.0,10gen_terran 10v10
11,0.11631967680000002,MAT,2760000.0,10gen_terran 10v10
12,0.09930574144000003,MAT,3010000.0,10gen_terran 10v10
13,0.12319459315200004,MAT,3260000.0,10gen_terran 10v10
14,0.12980567452160002,MAT,3510000.0,10gen_terran 10v10
15,0.11634453961728002,MAT,3760000.0,10gen_terran 10v10
16,0.16182563169382402,MAT,4010000.0,10gen_terran 10v10
17,0.14821050535505925,MAT,4260000.0,10gen_terran 10v10
18,0.1435684042840474,MAT,4510000.0,10gen_terran 10v10
19,0.17110472342723793,MAT,4760000.0,10gen_terran 10v10
20,0.18063377874179035,MAT,5010000.0,10gen_terran 10v10
0,0.0,MAT,10000.0,10gen_terran 10v10
1,0.0125,MAT,260000.0,10gen_terran 10v10
2,0.022500000000000003,MAT,510000.0,10gen_terran 10v10
3,0.030500000000000003,MAT,760000.0,10gen_terran 10v10
4,0.0369,MAT,1010000.0,10gen_terran 10v10
5,0.054520000000000006,MAT,1260000.0,10gen_terran 10v10
6,0.04986600000000001,MAT,1510000.0,10gen_terran 10v10
7,0.0648928,MAT,1760000.0,10gen_terran 10v10
8,0.08941424,MAT,2010000.0,10gen_terran 10v10
9,0.11528139200000001,MAT,2260000.0,10gen_terran 10v10
10,0.12972511360000002,MAT,2510000.0,10gen_terran 10v10
11,0.13503009088,MAT,2760000.0,10gen_terran 10v10
12,0.139274072704,MAT,3010000.0,10gen_terran 10v10
13,0.1551692581632,MAT,3260000.0,10gen_terran 10v10
14,0.13663540653056003,MAT,3510000.0,10gen_terran 10v10
15,0.15305832522444804,MAT,3760000.0,10gen_terran 10v10
16,0.15369666017955844,MAT,4010000.0,10gen_terran 10v10
17,0.19170732814364677,MAT,4260000.0,10gen_terran 10v10
18,0.19711586251491744,MAT,4510000.0,10gen_terran 10v10
19,0.22644269001193398,MAT,4760000.0,10gen_terran 10v10
20,0.26865415200954723,MAT,5010000.0,10gen_terran 10v10
21,0.2524233216076378,MAT,5260000.0,10gen_terran 10v10
0,0.0,MAT,10000.0,10gen_terran 10v10
1,0.018750000000000003,MAT,260000.0,10gen_terran 10v10
2,0.021250000000000005,MAT,510000.0,10gen_terran 10v10
3,0.017000000000000005,MAT,760000.0,10gen_terran 10v10
4,0.026100000000000005,MAT,1010000.0,10gen_terran 10v10
5,0.020880000000000006,MAT,1260000.0,10gen_terran 10v10
6,0.029204000000000008,MAT,1510000.0,10gen_terran 10v10
7,0.04211320000000001,MAT,1760000.0,10gen_terran 10v10
8,0.05869056000000001,MAT,2010000.0,10gen_terran 10v10
9,0.08445244800000001,MAT,2260000.0,10gen_terran 10v10
10,0.10506195840000002,MAT,2510000.0,10gen_terran 10v10
11,0.13404956672,MAT,2760000.0,10gen_terran 10v10
12,0.150989653376,MAT,3010000.0,10gen_terran 10v10
13,0.16454172270080003,MAT,3260000.0,10gen_terran 10v10
14,0.16913337816064003,MAT,3510000.0,10gen_terran 10v10
15,0.17280670252851205,MAT,3760000.0,10gen_terran 10v10
16,0.18824536202280967,MAT,4010000.0,10gen_terran 10v10
17,0.17559628961824775,MAT,4260000.0,10gen_terran 10v10
18,0.1967270316945982,MAT,4510000.0,10gen_terran 10v10
19,0.20113162535567858,MAT,4760000.0,10gen_terran 10v10
20,0.24840530028454288,MAT,5010000.0,10gen_terran 10v10
21,0.26747424022763433,MAT,5260000.0,10gen_terran 10v10
22,0.3264793921821075,MAT,5510000.0,10gen_terran 10v10
23,0.342433513745686,MAT,5760000.0,10gen_terran 10v10
0,0.0,MAT,10000.0,10gen_terran 10v10
1,0.00625,MAT,260000.0,10gen_terran 10v10
2,0.011250000000000001,MAT,510000.0,10gen_terran 10v10
3,0.015250000000000001,MAT,760000.0,10gen_terran 10v10
4,0.037200000000000004,MAT,1010000.0,10gen_terran 10v10
5,0.05476,MAT,1260000.0,10gen_terran 10v10
6,0.062558,MAT,1510000.0,10gen_terran 10v10
7,0.08754640000000001,MAT,1760000.0,10gen_terran 10v10
8,0.10128712000000001,MAT,2010000.0,10gen_terran 10v10
9,0.11227969600000001,MAT,2260000.0,10gen_terran 10v10
10,0.10857375680000002,MAT,2510000.0,10gen_terran 10v10
11,0.11810900544000003,MAT,2760000.0,10gen_terran 10v10
12,0.13823720435200004,MAT,3010000.0,10gen_terran 10v10
13,0.11683976348160005,MAT,3260000.0,10gen_terran 10v10
14,0.10597181078528005,MAT,3510000.0,10gen_terran 10v10
15,0.14102744862822406,MAT,3760000.0,10gen_terran 10v10
16,0.16282195890257925,MAT,4010000.0,10gen_terran 10v10
17,0.1552575671220634,MAT,4260000.0,10gen_terran 10v10
18,0.18045605369765072,MAT,4510000.0,10gen_terran 10v10
19,0.20686484295812058,MAT,4760000.0,10gen_terran 10v10
20,0.2029918743664965,MAT,5010000.0,10gen_terran 10v10
